,date,volatility,polarity
0,2022-01-31,24.83,0.38888862654342155
1,2022-02-01,21.959999,0.3640872108725557
2,2022-02-02,22.09,0.35833311458350836
3,2022-02-03,24.35,0.11005286665473017
4,2022-02-04,23.219999,0.2977589897143928
5,2022-02-07,22.860001,0.4801585880197046
6,2022-02-08,21.440001,0.29642854128395896
7,2022-02-09,19.959999,0.5333330555557425
8,2022-02-10,23.91,0.038888898842551665
9,2022-02-11,27.360001,0.37229430814262177
10,2022-02-14,28.33,0.44825377779451736
11,2022-02-15,25.700001,0.5779219190631257
12,2022-02-16,24.290001,0.32761895479935094
13,2022-02-17,28.110001,0.3377610202469353
14,2022-02-18,27.75,0.26098305274997396
15,2022-02-22,28.809999,0.15754365740275433
16,2022-02-23,31.02,0.19307416759322768
17,2022-02-24,30.32,0.37653898639306344
18,2022-02-25,27.59,0.47585003639803375
19,2022-02-28,30.15,0.32427234505717095
20,2022-03-01,33.32,0.044499283169372156
21,2022-03-02,30.74,0.18138525412468248
22,2022-03-03,30.48,0.26349201063868394
23,2022-03-04,31.98,0.50676660319395
24,2022-03-07,36.450001,0.4275686451595626
25,2022-03-08,35.130001,0.23299314032636967
26,2022-03-09,32.450001,0.17290239925726944
27,2022-03-10,30.23,0.3349204790193743
28,2022-03-11,30.75,0.48214262308690087
29,2022-03-14,31.77,0.10119045776644386
30,2022-03-15,29.83,0.5137842108546801
31,2022-03-16,26.67,0.5321630942034884
32,2022-03-17,25.67,0.5744044556407943
33,2022-03-18,23.870001,0.23287973328857847
34,2022-03-21,23.530001,0.09625123031856223
35,2022-03-22,22.940001,0.05144443384896221
36,2022-03-23,23.57,0.035376461156775584
37,2022-03-24,21.67,0.13253964930540468
38,2022-03-25,20.809999,0.240894889247478
39,2022-03-28,19.629999,0.21904759202205237
40,2022-03-29,18.9,0.22605027543828746
41,2022-03-30,19.33,0.12163115032130346
42,2022-03-31,20.559999,0.07384403147118873
43,2022-04-01,19.629999,0.06844231968440692
44,2022-04-04,18.57,0.15203581185149562
45,2022-04-05,21.030001,0.27609873368014637
46,2022-04-06,22.1,0.24604092478325565
47,2022-04-07,21.549999,0.1182445563145308
48,2022-04-08,21.16,0.24953034863668327
49,2022-04-11,24.370001,0.18308258379322326
50,2022-04-12,24.26,0.11819287361962626
51,2022-04-13,21.82,0.19080226140573667
52,2022-04-14,22.700001,0.3706001744554902
53,2022-04-18,22.17,0.15851849426336131
54,2022-04-19,21.370001,0.45835044228833244
55,2022-04-20,20.32,0.38287621745620676
56,2022-04-21,22.68,0.20178563172660857
57,2022-04-22,28.209999,0.4009521780915919
58,2022-04-25,27.02,0.2394442591637685
59,2022-04-26,33.52,0.19120788742671754
60,2022-04-27,31.6,0.4915185366970848
61,2022-04-28,29.99,0.1791665877778141
62,2022-04-29,33.400002,0.3595237081690007
